Position,Name,Rating,Team,Season
S,Bradley McDougald,62.8,Seattle Seahawks,2020
RT,Brandon Shell,63.6,Seattle Seahawks,2020
S,Quandre Diggs,73.4,Seattle Seahawks,2020
QB,Tyrod Taylor,47.0,Los Angeles Chargers,2020
DI,Linval Joseph,69.5,Los Angeles Chargers,2020
RB,Austin Ekeler,85.2,Los Angeles Chargers,2020
DI,Justin Jones,59.2,Los Angeles Chargers,2020
RB,Justin Jackson,84.4,Los Angeles Chargers,2020
Edge,Joey Bosa,89.6,Los Angeles Chargers,2020
TE,Hunter Henry,73.2,Los Angeles Chargers,2020
Edge,Melvin Ingram III,74.7,Los Angeles Chargers,2020
WR,Keenan Allen,80.3,Los Angeles Chargers,2020
LB,Drue Tranquill,66.6,Los Angeles Chargers,2020
WR,Mike Williams,74.1,Los Angeles Chargers,2020
LB,Kenneth Murray,68.3,Los Angeles Chargers,2020
WR,K.J. Hill,72.0,Los Angeles Chargers,2020
LB,Kyzir White,66.6,Los Angeles Chargers,2020
LT,Trey Pipkins,63.3,Los Angeles Chargers,2020
CB,Casey Hayward Jr.,84.2,Los Angeles Chargers,2020
LG,Dan Feeney,51.7,Los Angeles Chargers,2020
CB,Michael Davis,58.4,Los Angeles Chargers,2020
C,Mike Pouncey,58.2,Los Angeles Chargers,2020
CB,Chris Harris Jr.,69.9,Los Angeles Chargers,2020
RG,Trai Turner,63.9,Los Angeles Chargers,2020
S,Derwin James,82.4,Los Angeles Chargers,2020
RT,Bryan Bulaga,77.1,Los Angeles Chargers,2020
S,Rayshawn Jenkins,63.1,Los Angeles Chargers,2020
QB,Kirk Cousins,84.1,Minnesota Vikings,2020
DI,Michael Pierce,69.1,Minnesota Vikings,2020
RB,Dalvin Cook,76.2,Minnesota Vikings,2020
DI,Shamar Stephen,58.2,Minnesota Vikings,2020
RB,Alexander Mattison,70.0,Minnesota Vikings,2020
Edge,Danielle Hunter,89.0,Minnesota Vikings,2020
TE,Kyle Rudolph,71.1,Minnesota Vikings,2020
Edge,Ifeadi Odenigbo,74.0,Minnesota Vikings,2020
WR,Adam Thielen,75.5,Minnesota Vikings,2020
LB,Anthony Barr,56.3,Minnesota Vikings,2020
WR,Justin Jefferson,85.4,Minnesota Vikings,2020
LB,Eric Kendricks,90.1,Minnesota Vikings,2020
WR,Tajae Sharpe,72.3,Minnesota Vikings,2020
LB,Eric Wilson,66.7,Minnesota Vikings,2020
LT,Ezra Cleveland,82.5,Minnesota Vikings,2020
CB,Mike Hughes,58.7,Minnesota Vikings,2020
LG,Riley Reiff,69.5,Minnesota Vikings,2020
CB,Holton Hill,70.1,Minnesota Vikings,2020
C,Garrett Bradbury,57.7,Minnesota Vikings,2020
CB,Jeff Gladney,71.7,Minnesota Vikings,2020
RG,Dru Samia,67.0,Minnesota Vikings,2020
S,Anthony Harris,91.1,Minnesota Vikings,2020
RT,Brian O'Neill,70.8,Minnesota Vikings,2020
S,Harrison Smith,88.4,Minnesota Vikings,2020
QB,Jarrett Stidham,57.8,New England Patriots,2020
DI,Lawrence Guy,66.7,New England Patriots,2020
RB,Sony Michel,66.5,New England Patriots,2020
DI,Beau Allen,72.6,New England Patriots,2020
RB,James White,76.5,New England Patriots,2020
DI,Adam Butler,60.6,New England Patriots,2020
TE,Devin Asiasi,79.0,New England Patriots,2020
Edge,John Simon,73.3,New England Patriots,2020
WR,Julian Edelman,71.4,New England Patriots,2020
Edge,Chase Winovich,72.2,New England Patriots,2020
WR,Mohamed Sanu Sr.,58.5,New England Patriots,2020
LB,Dont'a Hightower,71.3,New England Patriots,2020
WR,N'Keal Harry,65.1,New England Patriots,2020
LB,Ja'Whaun Bentley,66.0,New England Patriots,2020
LT,Isaiah Wynn,70.7,New England Patriots,2020
CB,Stephon Gilmore,82.7,New England Patriots,2020
LG,Joe Thuney,79.2,New England Patriots,2020
CB,Jason McCourty,74.4,New England Patriots,2020
C,David Andrews,74.3,New England Patriots,2020
CB,J.C. Jackson,68.3,New England Patriots,2020
RG,Shaq Mason,75.1,New England Patriots,2020
S,Patrick Chung,55.6,New England Patriots,2020
RT,Marcus Cannon,70.1,New England Patriots,2020
S,Devin McCourty,80.8,New England Patriots,2020
QB,Matthew Stafford,82.6,Detroit Lions,2020
DI,Da'Shawn Hand,85.9,Detroit Lions,2020
RB,Kerryon Johnson,66.7,Detroit Lions,2020
DI,Danny Shelton,70.0,Detroit Lions,2020
RB,D'Andre Swift,80.4,Detroit Lions,2020
Edge,Trey Flowers,83.0,Detroit Lions,2020
TE,T.J. Hockenson,60.5,Detroit Lions,2020
Edge,Julian Okwara,79.2,Detroit Lions,2020
WR,Kenny Golladay,79.9,Detroit Lions,2020
LB,Jamie Collins Sr.,72.3,Detroit Lions,2020
WR,Marvin Jones Jr.,72.9,Detroit Lions,2020
LB,Jarrad Davis,40.4,Detroit Lions,2020
WR,Danny Amendola,71.5,Detroit Lions,2020
LB,Jahlani Tavai,60.5,Detroit Lions,2020
LT,Taylor Decker,75.5,Detroit Lions,2020
CB,Desmond Trufant,70.3,Detroit Lions,2020
LG,Joe Dahl,64.9,Detroit Lions,2020
CB,Jeffrey Okudah,82.8,Detroit Lions,2020
C,Frank Ragnow,74.9,Detroit Lions,2020
CB,Justin Coleman,60.7,Detroit Lions,2020
RG,Jonah Jackson,78.7,Detroit Lions,2020
