Position,Name,Rating,Team,season
QB,Kirk Cousins,88.2,Minnesota Vikings,2022
DI,Dalvin Tomlinson,74.9,Minnesota Vikings,2022
RB,Dalvin Cook,65.8,Minnesota Vikings,2022
DI,Harrison Phillips,75.2,Minnesota Vikings,2022
DI,Jonathan Bullard,56.7,Minnesota Vikings,2022
WR,Justin Jefferson,90.1,Minnesota Vikings,2022
Edge,Danielle Hunter,80.8,Minnesota Vikings,2022
WR,Adam Thielen,74.6,Minnesota Vikings,2022
Edge,Za'Darius Smith,76.3,Minnesota Vikings,2022
WR,K.J. Osborn,64.9,Minnesota Vikings,2022
LB,Eric Kendricks,59.9,Minnesota Vikings,2022
TE,Irv Smith Jr.,70.0,Minnesota Vikings,2022
LB,Jordan Hicks,62.9,Minnesota Vikings,2022
LT,Christian Darrisaw,71.9,Minnesota Vikings,2022
CB,Patrick Peterson,63.0,Minnesota Vikings,2022
LG,Ezra Cleveland,68.6,Minnesota Vikings,2022
CB,Cameron Dantzler,73.8,Minnesota Vikings,2022
C,Garrett Bradbury,60.2,Minnesota Vikings,2022
CB,Chandon Sullivan,55.0,Minnesota Vikings,2022
RG,Ed Ingram,73.0,Minnesota Vikings,2022
S,Harrison Smith,77.9,Minnesota Vikings,2022
RT,Brian O'Neill,73.4,Minnesota Vikings,2022
S,Cam Bynum,78.3,Minnesota Vikings,2022
QB,Carson Wentz,70.9,Washington Commanders,2022
DI,Jonathan Allen,84.9,Washington Commanders,2022
RB,Antonio Gibson,63.3,Washington Commanders,2022
DI,Daron Payne,64.2,Washington Commanders,2022
RB,J.D. McKissic,69.5,Washington Commanders,2022
Edge,Chase Young,75.1,Washington Commanders,2022
WR,Terry McLaurin,78.3,Washington Commanders,2022
Edge,Montez Sweat,75.6,Washington Commanders,2022
WR,Jahan Dotson,87.5,Washington Commanders,2022
Edge,James Smith-Williams,56.9,Washington Commanders,2022
WR,Curtis Samuel,77.1,Washington Commanders,2022
LB,Jamin Davis,46.8,Washington Commanders,2022
TE,Logan Thomas,63.4,Washington Commanders,2022
LB,Cole Holcomb,56.7,Washington Commanders,2022
LT,Charles Leno Jr.,81.2,Washington Commanders,2022
CB,William Jackson III,59.3,Washington Commanders,2022
LG,Andrew Norwell,66.7,Washington Commanders,2022
CB,Kendall Fuller,81.5,Washington Commanders,2022
C,Chase Roullier,83.7,Washington Commanders,2022
CB,Benjamin St-Juste,53.6,Washington Commanders,2022
RG,Trai Turner,68.1,Washington Commanders,2022
S,Kamren Curl,69.4,Washington Commanders,2022
RT,Sam Cosmi,74.9,Washington Commanders,2022
S,Bobby McCain,70.9,Washington Commanders,2022
QB,Ryan Tannehill,83.7,Tennessee Titans,2022
DI,Jeffery Simmons,72.0,Tennessee Titans,2022
RB,Derrick Henry,77.3,Tennessee Titans,2022
DI,Teair Tart,59.2,Tennessee Titans,2022
WR,Robert Woods,75.7,Tennessee Titans,2022
DI,Denico Autry,69.7,Tennessee Titans,2022
WR,Nick Westbrook-Ikhine,68.0,Tennessee Titans,2022
Edge,Bud Dupree,53.3,Tennessee Titans,2022
WR,Kyle Philips,77.6,Tennessee Titans,2022
Edge,Rashad Weaver,89.5,Tennessee Titans,2022
TE,Austin Hooper,64.2,Tennessee Titans,2022
LB,Zach Cunningham,62.9,Tennessee Titans,2022
TE,Geoff Swaim,55.6,Tennessee Titans,2022
LB,David Long Jr.,68.0,Tennessee Titans,2022
LT,Taylor Lewan,70.0,Tennessee Titans,2022
CB,Kristian Fulton,64.1,Tennessee Titans,2022
LG,Aaron Brewer,57.9,Tennessee Titans,2022
CB,Caleb Farley,86.9,Tennessee Titans,2022
C,Ben Jones,76.4,Tennessee Titans,2022
CB,Elijah Molden,62.0,Tennessee Titans,2022
RG,Nate Davis,69.2,Tennessee Titans,2022
S,Kevin Byard,90.4,Tennessee Titans,2022
RT,Nicholas Petit-Frere,78.5,Tennessee Titans,2022
S,Amani Hooker,85.9,Tennessee Titans,2022
QB,Mac Jones,80.4,New England Patriots,2022
DI,Christian Barmore,63.1,New England Patriots,2022
RB,Damien Harris,86.6,New England Patriots,2022
DI,Lawrence Guy,63.0,New England Patriots,2022
WR,DeVante Parker,72.8,New England Patriots,2022
DI,Davon Godchaux,63.7,New England Patriots,2022
WR,Jakobi Meyers,74.7,New England Patriots,2022
Edge,Matthew Judon,62.8,New England Patriots,2022
WR,Kendrick Bourne,77.8,New England Patriots,2022
Edge,Anfernee Jennings,54.6,New England Patriots,2022
TE,Hunter Henry,72.0,New England Patriots,2022
LB,Ja'Whaun Bentley,65.1,New England Patriots,2022
TE,Jonnu Smith,58.5,New England Patriots,2022
CB,Jalen Mills,67.5,New England Patriots,2022
LT,Trent Brown,73.8,New England Patriots,2022
CB,Jonathan Jones,80.7,New England Patriots,2022
LG,Cole Strange,86.3,New England Patriots,2022
CB,Marcus Jones,87.8,New England Patriots,2022
C,David Andrews,79.6,New England Patriots,2022
S,Kyle Dugger,69.7,New England Patriots,2022
RG,Mike Onwenu,86.7,New England Patriots,2022
S,Adrian Phillips,80.0,New England Patriots,2022
RT,Isaiah Wynn,74.9,New England Patriots,2022
S,Devin McCourty,75.5,New England Patriots,2022
QB,Derek,82.0,Las Vegas Raiders,2022
DI,Bilal Nichols,61.3,Las Vegas Raiders,2022
RB,Josh Jacobs,79.5,Las Vegas Raiders,2022
