spread,ou_value,fav_ml_result,fav_sp_result,ou_result,fav_ppg,und_ppg,fav_papg,und_papg,fav_ypg,und_ypg,fav_yapg,und_yapg,fav_topg,und_topg,fav_tofpg,und_tofpg,fav_avg_mov,und_avg_mov,fav_win_pct,und_win_pct,fav_last_5_win_pct,und_last_5_win_pct,fav_home_win_pct,und_home_win_pct,fav_away_win_pct,und_away_win_pct,ppg_diff,ypg_diff,topg_diff,avg_mov_diff,win_pct_diff,last_5_win_pct_diff,team_ovr_diff,ypg_sum,ppg_ratio,ypg_ratio,avg_mov_ratio
-12.5,49.0,1,1.0,0,30.5,24.75,18.25,24.75,341.5,364.25,367.5,400.75,1.0,1.33,1.75,1.0,5.67,1.0,0.75,0.5,0.75,0.5,0.5,0.5,1.0,0.5,5.75,-22.75,-0.33000000000000007,4.67,0.25,0.25,10.480000000000004,705.75,1.23,0.94,5.67
-6.5,55.0,1,1.0,0,20.0,23.75,31.5,29.25,327.5,367.0,393.25,399.5,1.25,1.25,0.0,0.75,-10.67,-9.67,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,-3.75,-39.5,0.0,-1.0,-0.25,-0.25,4.8799999999999955,694.5,0.84,0.89,1.1
-11.0,54.5,0,0.0,1,29.25,27.75,17.5,30.0,405.75,376.75,356.0,388.75,0.5,1.5,1.75,0.5,11.0,-4.33,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.5,29.0,-1.0,15.33,0.5,0.5,1.730000000000004,782.5,1.05,1.08,-2.54
-7.0,48.5,1,1.0,0,24.5,16.25,23.0,32.75,370.25,278.0,362.0,368.75,1.5,1.25,0.75,1.5,0.67,-18.67,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,8.25,92.25,0.25,19.340000000000003,0.5,0.5,-4.97999999999999,648.25,1.51,1.33,-0.04
-7.5,44.0,1,1.0,1,26.67,21.0,19.33,26.75,382.0,318.25,290.0,352.25,1.0,2.33,1.67,1.0,7.33,-4.33,1.0,0.25,1.0,0.25,1.0,0.0,1.0,0.5,5.670000000000002,63.75,-1.33,11.66,0.75,0.75,3.2099999999999937,700.25,1.27,1.2,-1.69
-7.0,45.0,1,1.0,0,26.5,19.75,20.0,28.0,397.25,301.75,353.25,338.25,1.25,2.0,1.5,1.5,7.67,-14.33,0.75,0.25,0.75,0.25,1.0,0.5,0.5,0.0,6.75,95.5,-0.75,22.0,0.5,0.5,5.719999999999999,699.0,1.34,1.32,-0.54
-8.5,50.5,0,0.0,1,26.75,23.25,17.75,24.0,390.5,347.0,294.75,409.75,1.0,1.25,1.25,1.25,13.33,2.33,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.5,3.5,43.5,-0.25,11.0,0.25,0.25,16.91000000000001,737.5,1.15,1.13,5.72
-1.0,48.5,1,1.0,1,31.0,25.75,31.5,14.0,387.0,360.25,402.25,236.25,1.0,0.75,2.5,1.75,10.0,18.0,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.5,5.25,26.75,0.25,-8.0,0.0,0.0,-3.7299999999999898,747.25,1.2,1.07,0.56
-7.5,52.0,1,0.0,1,31.5,11.75,36.5,24.0,509.5,278.0,430.5,328.25,2.25,2.0,0.5,1.0,-5.67,-13.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,19.75,231.5,0.25,7.33,0.25,0.25,13.509999999999991,787.5,2.68,1.83,0.44
-6.5,54.0,1,0.0,0,35.5,26.5,27.25,31.25,416.25,357.75,476.75,426.5,0.75,1.75,2.0,0.75,6.67,-3.33,1.0,0.25,1.0,0.25,1.0,0.0,1.0,0.5,9.0,58.5,-1.0,10.0,0.75,0.75,-5.280000000000001,774.0,1.34,1.16,-2.0
-7.0,49.5,1,0.0,1,30.75,20.75,30.75,23.75,371.0,400.25,334.25,373.75,0.75,1.75,1.25,0.75,-3.67,-5.0,0.5,0.25,0.5,0.25,0.5,0.0,0.5,0.5,10.0,-29.25,-1.0,1.33,0.25,0.25,15.320000000000007,771.25,1.48,0.93,0.73
-3.0,52.0,0,0.0,1,30.75,26.67,25.0,24.67,409.75,391.67,381.25,422.33,1.25,0.33,1.5,2.0,4.33,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.079999999999998,18.079999999999984,0.9199999999999999,2.33,0.0,0.0,-10.039999999999992,801.4200000000001,1.15,1.05,2.16
-2.0,45.0,0,0.0,0,24.4,21.0,23.6,20.0,399.6,323.2,356.4,344.0,1.0,1.2,1.6,1.0,7.33,-1.0,0.6,0.8,0.6,0.8,0.5,0.67,0.67,1.0,3.3999999999999986,76.40000000000003,-0.19999999999999996,8.33,-0.20000000000000007,-0.20000000000000007,7.840000000000003,722.8,1.16,1.24,-7.33
